Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61124074,The Malevolent Seven,Sebastien de Castell,"Castell, Sebastien de",,"=""1529422779""","=""9781529422771""",0,4.07,Jo Fletcher Books,Hardcover,384,2023,2023,,2023/12/21,"to-read, heist, urban-fantasy","to-read (#205), heist (#13), urban-fantasy (#32)",to-read,,,,0,0
38619,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,"Andrews, Ilona",,"=""""","=""""",0,4.06,Ace,Mass Market Paperback,261,2007,2007,,2023/12/21,"to-read, series, spicy, romance, urban-fantasy, wolves","to-read (#204), series (#146), spicy (#49), romance (#126), urban-fantasy (#31), wolves (#15)",to-read,,,,0,0
1584974,"Lord of the Fading Lands (Tairen Soul, #1)",C.L. Wilson,"Wilson, C.L.",,"=""0843959770""","=""9780843959772""",0,3.98,Dorchester Pub Co Inc,Paperback,406,2007,2007,,2023/12/21,"to-read, fae, fantasy, romance, series, spicy","to-read (#203), fae (#29), fantasy (#154), romance (#125), series (#145), spicy (#48)",to-read,,,,0,0
18139978,"London Falling (Shadow Police, #1)",Paul Cornell,"Cornell, Paul",,"=""0765368102""","=""9780765368102""",0,3.78,Tor Fantasy,Mass Market Paperback,432,2014,2012,,2023/12/21,"to-read, urban-fantasy, series","to-read (#202), urban-fantasy (#30), series (#144)",to-read,,,,0,0
54017820,"Little Thieves (Little Thieves, #1)",Margaret  Owen,"Owen, Margaret",,"=""1250191904""","=""9781250191908""",0,4.28,Henry Holt and Co. (BYR),Hardcover,512,2021,2021,,2023/12/21,"to-read, heist, fantasy, romance, young-adult","to-read (#201), heist (#12), fantasy (#153), romance (#124), young-adult (#75)",to-read,,,,0,0
24468673,"The Lightning-Struck Heart (Tales From Verania, #1)",T.J. Klune,"Klune, T.J.",,"=""163476367X""","=""9781634763677""",0,4.39,Dreamspinner Press,Paperback,405,2015,2015,,2023/12/21,"to-read, fantasy, romance, series","to-read (#200), fantasy (#152), romance (#123), series (#143)",to-read,,,,0,0
57693245,"The Liar's Crown (Dominions, #1)",Abigail Owen,"Owen, Abigail",,"=""1649371527""","=""9781649371522""",0,3.91,Entangled: Teen,Hardcover,448,2022,2022,,2023/12/21,"to-read, fantasy, series, romance, young-adult","to-read (#199), fantasy (#151), series (#142), romance (#122), young-adult (#74)",to-read,,,,0,0
60159900,The Legend of Black Jack,A.R. Witham,"Witham, A.R.",,"=""""","=""""",0,4.32,Nepenthe House,Kindle Edition,495,2022,,,2023/12/21,"to-read, fantasy","to-read (#198), fantasy (#150)",to-read,,,,0,0
62987104,"Lady of Darkness (Lady of Darkness, #1)",Melissa K. Roehrich,"Roehrich, Melissa K.",,"=""""","=""9798549989214""",0,4.16,,Paperback,525,2022,2020,,2023/12/21,"to-read, fae, wolves, series, spicy, romance, fantasy","to-read (#197), fae (#28), wolves (#14), series (#141), spicy (#47), romance (#121), fantasy (#149)",to-read,,,,0,0
30841984,"Kings of the Wyld (The Band, #1)",Nicholas Eames,"Eames, Nicholas",,"=""0316362476""","=""9780316362474""",0,4.28,Orbit,Paperback,502,2017,2017,,2023/12/21,"to-read, fantasy, series","to-read (#196), fantasy (#148), series (#140)",to-read,,,,0,0
